The CCLE Results relative to 644241
CCLE Name	Target	Does	IC50
HCC-15	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HCC1569	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HCC1806	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.519812584	
HCC1954	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.009234905	
HCC2935	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HCC4006	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.44418478	
HCC-56	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HCC70	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HCC-78	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HCT 116	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HCT-15	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.496217728	
HDQ-P1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.125851952	
HEC-151	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.333292961	
HEC-1-A	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.968556881	
HEC-1-B	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.339510496	
HEC-251	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HEC-265	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HEC-59	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HEC-6	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.039887553	
HEL 92.1.7	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hep 3B2.1-7	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.14665699	
Hep G2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hey-A8	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HGC-27	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.899519444	
HH	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
