The CCLE Results relative to 644241
CCLE Name	Target	Does	IC50
SK-MEL-31	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.54642868	
SK-MEL-5	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SK-MM-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SK-N-BE(2)	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SK-N-SH	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.205433846	
SK-OV-3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SNG-M	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SNU-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SNU-16	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.049494644	
SNU-182	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SNU-423	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SNU-449	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SNU-C2A	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SNU-C2B	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SU-DHL-10	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SU-DHL-4	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.041968346	
SU-DHL-6	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.099240054	
SU-DHL-8	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.790517807	
SUIT-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SUP-M2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SUP-T1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SW 1088	2	.0025,.0080,.025,.080,.25,.80,2.53,8	1.020972229	
SW 1271	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SW 1353	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SW 1990	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.833574772	
SW403	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SW48	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SW480	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SW579	2	.0025,.0080,.025,.080,.25,.80,2.53,8	3.264090061	
SW620	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SW 780	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
SW 900	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
T24	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
T3M-10	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
T-47D	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
T84	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
T98G	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
TC-71	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
TCCSUP	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
TE 617.T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.358335733	
TE-9	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.083400249	
TEN	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Toledo	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
TOV-112D	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
TOV-21G	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
TT2609-C02	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.903181076	
TYK-nu	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
U-118 MG	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
U-2 OS	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.420892239	
U-87 MG	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
U-937	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.434136868	
UACC-812	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
UM-UC-3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
VMRC-LCD	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
VMRC-RCW	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.079586029	
VMRC-RCZ	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
WM1799	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.204105377	
WM-793	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.826157093	
WM-88	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.776633263	
WM-983B	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.791449547	
YKG1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.677743435	
ZR-75-30	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
