The CCLE Results relative to 10206158
CCLE Name	Target	Does	IC50
DMS 114	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
DOHH-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
DOV13	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
DU 145	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
DV-90	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.065534264	
EB1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
EB2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
EBC-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.045943316	
EFE-184	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
EFM-19	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
EFO-21	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
EFO-27	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
EM-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.034289107	
EN	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
ES-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.131824732	
ESS-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
F-36P	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.101642273	
FaDu	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.066126823	
FU97	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.362124264	
FU-OV-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	3.074702978	
G-361	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.024077827	
G-401	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.883607388	
G-402	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
GAMG	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
GB-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.90375483	
GCIY	2	.0025	.0080	.025	.080	.25	.80	2.53	8	5.583405495	
GCT	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
GI-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
GLC-82	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
GMS-10	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
GRANTA-519	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
H4	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HARA	2	.0025	.0080	.025	.080	.25	.80	2.53	8	5.792830944	
