The CCLE Results relative to 45270897
CCLE Name	Target	Does	IC50
1321N1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
22Rv1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.329924107	
42-MG-BA	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.68212986	
5637	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.002314091	
639-V	2	.0025,.0080,.025,.080,.25,.80,2.53,8	1.736181378	
697	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.260821819	
769-P	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
786-O	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.613147736	
8305C	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.95063591	
8505C	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
8-MG-BA	2	.0025,.0080,.025,.080,.25,.80,2.53,8	3.88834095	
A172	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
A-204	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.150311947	
A2058	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.513091087	
A-253	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
A2780	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.50890398	
A-375	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.755423546	
A549	2	.0025,.0080,.025,.080,.25,.80,2.53,8	1.954786897	
A-673	2	.0025,.0080,.025,.080,.25,.80,2.53,8	1.127677202	
ACHN	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.67290926	
ALL-SIL	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.558496475	
AMO-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.194509948	
AN3 CA	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
AsPC-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	1.427774787	
AU565	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
