height	rank	name
0.002952101	1	ALL-SIL
0.007538102	2	EM-2
0.00760066	3	NCO2
0.013746729	4	KCL-22
0.016822226	5	KU812
0.049494644	6	SNU-16
0.062944786	7	Capan-2
0.069269069	8	MEG-01
0.099240054	9	SU-DHL-6
0.125851952	10	HDQ-P1
0.15920667	11	SK-CO-1
0.379206822	12	GRANTA-519
0.426970909	13	HuT 78
0.464579643	14	OE21
0.893207331	15	IST-MES1
1.020972229	16	SW 1088
1.081994414	17	A-204
1.649600863	18	SIG-M5
1.910434365	19	697
2.039887553	20	HEC-6
2.131068909	21	MOLT-16
2.226455688	22	AMO-1
2.293517775	23	JVM-3
2.321830997	24	KHM-1B
2.358335733	25	TE 617.T
2.386837244	26	NCI-H2286
2.536269426	27	MHH-ES-1
2.917067289	28	KMM-1
3.224921905	29	MB 157
3.264090061	30	SW579
3.32824254	31	NCI-H2170
3.351381302	32	COLO-699
3.499485731	33	KMS-34
3.565156339	34	IST-MES2
3.743279696	35	NCI-N87
3.887146473	36	MONO-MAC-1
3.974702597	37	MDA-MB-415
4.014651299	38	NCI-H2023
4.030470371	39	LP-1
4.14665699	40	Hep 3B2.1-7
4.221470356	41	KMS-11
4.287676811	42	JHOS-4
4.289455414	43	LUDLU-1
4.322463036	44	MDA-MB-468
4.339510496	45	HEC-1-B
4.356728077	46	NUGC-4
4.411684036	47	Malme-3M
4.633401871	48	HT-144
4.720332146	49	Hs 895.T
4.791784763	50	KE-39
4.903181076	51	TT2609-C02
4.991260529	52	COLO-320
5.009234905	53	HCC1954
5.011620998	54	JMSU-1
5.041968346	55	SU-DHL-4
5.09538269	56	HUP-T4
5.128837109	57	KYSE-410
5.205433846	58	SK-N-SH
5.412808418	59	KP-N-SI9s
5.434136868	60	U-937
5.590958595	61	NCI-H1648
5.612988949	62	FaDu
5.635250228	63	8305C
5.712678432	64	Saos-2
5.777545452	65	NCI-H810
5.790517807	66	SU-DHL-8
5.899519444	67	HGC-27
5.937797546	68	MSTO-211H
6.001347065	69	KMS-26
6.008265495	70	MEC-1
6.016578197	71	Hs 746T
6.0388937	72	A549
6.046969891	73	NCI-H211
6.058652401	74	DMS 114
6.083400249	75	TE-9
6.089197159	76	NCI-H2087
6.25021553	77	F-36P
6.26444149	78	DEL
6.325265884	79	GCIY
6.332070827	80	CAMA-1
6.401216984	81	LN-229
6.421111584	82	MDA-MB-435S
6.496217728	83	HCT-15
6.504006386	84	KYSE-520
6.550229549	85	L-428
6.70353508	86	OV-90
6.751279831	87	COLO-677
6.776633263	88	WM-88
6.798111916	89	OCI-AML2
6.804694176	90	A2780
6.82102108	91	C2BBe1
6.826157093	92	WM-793
6.852528572	93	8505C
6.892540932	94	BT-474
6.903137207	95	SK-MEL-24
6.968556881	96	HEC-1-A
7.072412014	97	HPAC
7.079586029	98	VMRC-RCW
7.080129623	99	Hs 939.T
7.134063244	100	NCI-H3255
7.181233406	101	HMCB
7.204105377	102	WM1799
7.265676975	103	OCI-AML5
7.266346931	104	MEL-HO
7.286914825	105	Hs 852.T
7.333292961	106	HEC-151
7.357892513	107	COLO-679
7.420892239	108	U-2 OS
7.43892622	109	NCI-H23
7.44418478	110	HCC4006
7.456087112	111	B-CPAP
7.463879585	112	KASUMI-2
7.475354671	113	5637
7.519812584	114	HCC1806
7.54642868	115	SK-MEL-31
7.570580006	116	OVCAR-8
7.630359173	117	H4
7.677743435	118	YKG1
7.686830521	119	COV318
7.693918705	120	PLC/PRF/5
7.700304031	121	JM1
7.710957527	122	NCI-H1666
7.78498888	123	NCI-H1339
7.791449547	124	WM-983B
7.833574772	125	SW 1990
7.855627537	126	NCI-H2122
7.879194736	127	AU565
7.97711277	128	SH-10-TC
8	129	22Rv1
8	130	639-V
8	131	769-P
8	132	786-O
8	133	A172
8	134	A2058
8	135	A-253
8	136	A-375
8	137	AN3 CA
8	138	AsPC-1
8	139	AZ-521
8	140	BDCM
8	141	BFTC-909
8	142	BGC-823
8	143	BL-41
8	144	BL-70
8	145	BT-20
8	146	BT-549
8	147	C32
8	148	Caki-2
8	149	CAL-78
8	150	CAL-85-1
8	151	Calu-1
8	152	Calu-3
8	153	CAS-1
8	154	CHL-1
8	155	CI-1
8	156	CMK-86
8	157	COLO 201
8	158	COLO 205
8	159	COLO-678
8	160	COR-L23
8	161	COV504
8	162	Daoy
8	163	DBTRG-05MG
8	164	Detroit 562
8	165	DK-MG
8	166	DOHH-2
8	167	DOV13
8	168	DU 145
8	169	EB1
8	170	EB2
8	171	EBC-1
8	172	EFE-184
8	173	EFM-19
8	174	EFO-21
8	175	EFO-27
8	176	EN
8	177	FU-OV-1
8	178	G-361
8	179	G-401
8	180	GB-1
8	181	GCT
8	182	GLC-82
8	183	GMS-10
8	184	HCC1187
8	185	HCC-15
8	186	HCC1569
8	187	HCC2935
8	188	HCC-56
8	189	HCC70
8	190	HCC-78
8	191	HCT 116
8	192	HEC-251
8	193	HEC-265
8	194	HEC-59
8	195	HEL 92.1.7
8	196	Hep G2
8	197	Hey-A8
8	198	HH
8	199	HLE
8	200	HLF
8	201	HMC-1-8
8	202	HOS
8	203	Hs 229.T
8	204	Hs 294T
8	205	Hs 578T
