height	rank	name
0.0025	1	OCI-AML2
0.002542614	2	SIG-M5
0.003394654	3	WM-88
0.004154827	4	Malme-3M
0.004738287	5	KO52
0.005780043	6	CHP-212
0.00600136	7	COLO 205
0.006270713	8	IPC-298
0.006378752	9	COLO 201
0.006414421	10	WM-983B
0.007476748	11	A-375
0.008396589	12	SW48
0.00991583	13	SW620
0.010513669	14	UACC-62
0.010615913	15	HCC-56
0.011152006	16	NUGC-4
0.011746166	17	HT-29
0.012090529	18	SK-MEL-30
0.012509198	19	COLO-679
0.013036346	20	LS411N
0.013439163	21	SK-MEL-5
0.01382275	22	MEL-HO
0.015687533	23	KARPAS-620
0.015824527	24	NCI-H322
0.015975719	25	SW403
0.017062185	26	HuT 78
0.01714126	27	Hs 766T
0.019130703	28	HT-144
0.019136582	29	RVH-421
0.019374402	30	OCUM-1
0.019754883	31	Panc 02.03
0.019812323	32	WM-266-4
0.019956499	33	UACC-257
0.020542197	34	NCI-H727
0.020692002	35	P31/FUJ
0.021839682	36	IGR-37
0.022050716	37	HD-MY-Z
0.022053087	38	NCI-H747
0.022402048	39	OV-90
0.022851815	40	Hep G2
0.024077827	41	G-361
0.026637657	42	MHH-ES-1
0.027077457	43	MDA-MB-435S
0.028687071	44	NCI-H1666
0.029214961	45	TT2609-C02
0.031874225	46	LS513
0.033684015	47	KP-2
0.034289107	48	EM-2
0.035253178	49	PK-45H
0.035555024	50	NCI-H2122
0.036374319	51	HMC-1-8
0.036501385	52	WM1799
0.036591209	53	UACC-812
0.041808613	54	Hs 939.T
0.042091515	55	KU812
0.042563576	56	Hs 936.T
0.045527395	57	ONS-76
0.045943316	58	EBC-1
0.047472205	59	SW1417
0.054352019	60	KCL-22
0.054371227	61	NCI-H2087
0.056742616	62	SK-N-AS
0.063616872	63	RL95-2
0.064197071	64	A2780
0.064959936	65	MIA PaCa-2
0.065534264	66	DV-90
0.066378251	67	HUP-T4
0.07532502	68	SNU-1
0.077857971	69	Capan-2
0.080208279	70	K029AX
0.080252647	71	SK-MEL-24
0.08198344	72	HEC-151
0.084109992	73	KYSE-30
0.084666125	74	NCI-H358
0.085503943	75	QGP-1
0.089522883	76	C32
0.098736674	77	KP-N-SI9s
0.101642273	78	F-36P
0.123916917	79	RKO
0.127512574	80	SK-CO-1
0.129075423	81	TE-15
0.131824732	82	ES-2
0.133890107	83	CAL 27
0.138186365	84	AsPC-1
0.138409436	85	NCO2
0.143660545	86	Hs 944.T
0.146351352	87	NCI-H1915
0.162139654	88	Calu-6
0.168788165	89	SUIT-2
0.171543315	90	A549
0.186506376	91	SW480
0.19030641	92	IM95
0.200356334	93	RKN
0.202401146	94	HCT 116
0.202899247	95	A2058
0.209011331	96	HPAC
0.217735618	97	COLO 741
0.22173892	98	WM-793
0.225805432	99	SW 1990
0.227784306	100	COLO-678
0.233818457	101	SK-MEL-2
0.237993121	102	Hs 695T
0.246631786	103	PSN1
0.252431244	104	BxPC-3
0.253714144	105	LU99
0.25415495	106	RD
0.267063349	107	NCI-H2444
0.274631172	108	OCI-AML5
0.276277214	109	MEG-01
0.287491083	110	MKN-45
0.288278252	111	SW 780
0.288739204	112	JHH-5
0.309053719	113	CAL-12T
0.32165724	114	Panc 10.05
0.324745417	115	BDCM
0.355318874	116	HUP-T3
0.362124264	117	FU97
0.371464181	118	KG-1
0.377883375	119	8505C
0.380417019	120	Panc 04.03
0.392702222	121	KCI-MOH1
0.416212499	122	NCI-H1944
0.440331429	123	NCI-H1299
0.446043372	124	HT-1080
0.461666137	125	OE21
0.468805701	126	RT-112
0.476406842	127	JHH-7
0.489884287	128	SCC-9
0.490049899	129	PK-59
0.519260585	130	NCI-H1355
0.544444621	131	8305C
0.555520535	132	WM-115
0.566682398	133	HPAF-II
0.603661001	134	PL45
0.636340976	135	Hey-A8
0.640863359	136	KYSE-70
0.644625247	137	KARPAS-299
0.665258825	138	SW 1271
0.679533243	139	CAL-85-1
0.686679423	140	T3M-10
0.687534392	141	C3A
0.716822829	142	Hs 895.T
0.719762087	143	CCK-81
0.734539926	144	NCI-H2009
0.739885271	145	AMO-1
0.847085655	146	Hep 3B2.1-7
0.864690185	147	SK-MES-1
0.875140309	148	NCI-H1792
0.94524008	149	MCAS
0.952850282	150	PK-1
1.002676487	151	LOX IMVI
1.004896998	152	TE 617.T
1.027768612	153	SNU-C2B
1.102446795	154	MSTO-211H
1.129081249	155	KMM-1
1.145538807	156	KMBC-2
1.158368349	157	SUP-M2
1.194876909	158	KNS-62
1.19507885	159	COR-L105
1.207887888	160	OE33
1.226284981	161	SNU-398
1.253405809	162	HCC70
1.338009119	163	SIMA
1.338297009	164	SBC-5
1.339613318	165	Hs 852.T
1.420838833	166	JMSU-1
1.454271674	167	769-P
1.578598022	168	NCI-H1573
1.604760051	169	B-CPAP
1.695538163	170	HuCCT1
1.84317863	171	SCaBER
1.90375483	172	GB-1
1.93816185	173	KYM-1
1.964872479	174	COLO-677
1.984133124	175	NCI-H2286
2.000169039	176	Hs 746T
2.066126823	177	FaDu
2.105214119	178	KYSE-140
2.182970047	179	KP-3
2.201559782	180	U-937
2.32338357	181	SK-LMS-1
2.332025623	182	MFE-319
2.416165352	183	Panc 03.27
2.463804245	184	SK-N-BE(2)
2.671397686	185	huH-1
2.750053167	186	JHH-4
2.751912594	187	MDA-MB-453
2.774494648	188	KP4
2.783416748	189	SF8657
2.799669504	190	Sq-1
2.883607388	191	G-401
2.899242401	192	KYSE-520
2.966596365	193	KALS-1
3.027319193	194	Caki-2
3.064517498	195	Calu-3
3.074702978	196	FU-OV-1
3.133640528	197	SCC-25
3.165573597	198	HCC4006
3.257377863	199	TE-11
3.420663357	200	HCC-44
