height	rank	name
1.6303	243	HuCCT1
1.6326	244	LS-1034
1.6357	245	NCI-H2030
1.6381	246	NCI-H1651
1.6455	247	NB7
1.6469	248	CHP-212
1.6544	249	YH-13
1.6555	250	ATN-1
1.6617	251	Ca-Ski
1.6646	252	CAMA-1
1.6743	253	HCC2998
1.6752	254	MEL-HO
1.6783	255	Ca9-22
1.6797	256	NCI-H1304
1.683	257	BxPC-3
1.7011	258	SK-MEL-3
1.7039	259	MHH-CALL-2
1.711	260	HEC-1
1.7113	261	COR-L279
1.7125	262	OE19
1.7135	263	C3A
1.7191	264	MZ1-PC
1.7204	265	EW-22
1.7229	266	NB17
1.7283	267	NCI-H292
1.7286	268	RL95-2
1.7296	269	SW837
1.7342	270	HCT-116
1.7477	271	U031
1.7485	272	KALS-1
1.75	273	ES1
1.752	274	Calu-1
1.7568	275	OC-314
1.7574	276	NUGC-3
1.7627	277	697
1.7698	278	COR-L105
1.7719	279	TC-YIK
1.7791	280	NCI-H1355
1.7792	281	OAW-42
1.7904	282	MKN45
1.7913	283	A549
1.7956	284	OVCAR-4
1.8042	285	SW1990
1.8143	286	KGN
1.8163	287	LU-99A
1.8166	288	K-562
1.8171	289	IST-MEL1
1.8184	290	BEN
1.8232	291	MDA-MB-453
1.8247	292	COLO-205
1.8258	293	BALL-1
1.8272	294	NCI-H510A
1.8439	295	CTB-1
1.8508	296	MC-IXC
1.8543	297	MC-CAR
1.858	298	LC-2-ad
1.8586	299	KM-H2
1.859	300	SH-4
1.863	301	ME-180
1.8666	302	MOLT-4
1.8693	303	NCI-H1618
1.8697	304	MMAC-SF
1.8732	305	SR
1.8733	306	Daudi
1.8871	307	EGI-1
1.8896	308	KS-1
1.892	309	DMS-153
1.8929	310	PF-382
1.8964	311	Raji
1.9003	312	COLO-668
1.9003	313	COLO-792
1.9008	314	D-566MG
1.9034	315	BB49-HNC
1.9041	316	CESS
1.9068	317	EM-2
1.9147	318	COLO-824
1.9183	319	GT3TKB
1.9238	320	CA46
1.9274	321	REH
1.9277	322	L-540
1.9321	323	TE-5
1.9348	324	ARH-77
1.9385	325	MZ7-mel
1.9496	326	IST-SL1
1.9528	327	NCI-H727
1.9562	328	PC-14
1.9571	329	MKN7
1.9607	330	J-RT3-T3-5
1.9652	331	NCI-H82
1.9683	332	COLO-741
1.9692	333	WSU-NHL
1.9698	334	OS-RC-2
1.9749	335	NB69
1.9804	336	CAPAN-1
1.9869	337	SW1116
1.9889	338	SW1463
1.9895	339	NB10
1.9937	340	NEC8
1.9956	341	RPMI-7951
1.9973	342	SNU-423
2.0012	343	U251
2.0019	344	DU-4475
2.0035	345	DOHH-2
2.0037	346	SN12C
2.0075	347	L-428
2.0136	348	BB65-RCC
2.0205	349	Ramos-2G6-4C10
2.0302	350	RT4
2.0322	351	HT
2.0369	352	CAL-120
2.0501	353	GAK
2.0522	354	647-V
