height	rank	name
6.614031792	222	PK-59
6.621147633	223	HCC-44
6.633160591	224	Hs 746T
6.68214941	225	DU 145
6.684100151	226	KASUMI-2
6.747029305	227	SW480
6.750865459	228	RPMI-7951
6.777762554	229	KO52
6.789673858	230	OVCAR-8
6.799887657	231	NCI-H358
6.837701797	232	KCL-22
6.85484457	233	Hs 683
6.899638653	234	NCI-H1793
6.92267704	235	PK-1
6.969734669	236	KP-2
7.002896786	237	HDQ-P1
7.017650604	238	Hs 739.T
7.100716114	239	HT-1080
7.165520937	240	TE 617.T
7.182005882	241	CHL-1
7.18392086	242	HEC-1-B
7.204105377	243	RERF-LC-AI
7.206761837	244	HCC1806
7.266235352	245	NCI-H1155
7.284452438	246	HCC1954
7.419638634	247	JHH-4
7.483052254	248	HLF
7.501813412	249	MFE-296
7.504933834	250	COV504
7.528018475	251	SK-LU-1
7.611978054	252	JVM-3
7.613147736	253	786-O
7.638451099	254	LS123
7.67290926	255	ACHN
7.681400776	256	VMRC-RCZ
7.701841831	257	MFE-319
7.722693443	258	NCI-H2087
7.724710464	259	Calu-3
7.851645947	260	COLO-678
7.875080109	261	NCI-H650
8	262	1321N1
8	263	769-P
8	264	8505C
8	265	A172
8	266	A-253
8	267	AN3 CA
8	268	AU565
8	269	BFTC-909
8	270	BL-41
8	271	BL-70
8	272	BT-20
8	273	BT-474
8	274	Caki-2
8	275	Calu-1
8	276	CAMA-1
8	277	CAS-1
8	278	CI-1
8	279	COLO-677
8	280	COLO-679
8	281	COR-L105
8	282	COR-L23
8	283	COV318
8	284	Daoy
8	285	DBTRG-05MG
8	286	Detroit 562
8	287	DK-MG
8	288	DV-90
8	289	EB1
8	290	EB2
8	291	EFE-184
8	292	EFM-19
8	293	EFO-21
8	294	EFO-27
8	295	EM-2
8	296	EN
8	297	ES-2
8	298	FaDu
8	299	G-402
8	300	GAMG
8	301	GB-1
8	302	GCIY
8	303	GI-1
8	304	GLC-82
8	305	GMS-10
8	306	GRANTA-519
8	307	H4
8	308	HARA
8	309	HCC1187
8	310	HCC1395
8	311	HCC-15
8	312	HCC1569
8	313	HCC2935
8	314	HCC4006
8	315	HCC-56
8	316	HCC70
8	317	HCC-78
8	318	HCT 116
8	319	HEC-151
8	320	HEC-1-A
8	321	HEC-251
8	322	HEC-265
8	323	HEC-59
8	324	HEC-6
8	325	HEL 92.1.7
8	326	Hey-A8
8	327	HH
8	328	HLE
8	329	HOS
8	330	Hs 229.T
8	331	Hs 578T
8	332	Hs 766T
8	333	Hs 840.T
8	334	Hs 936.T
8	335	Hs 939.T
8	336	Hs 944.T
8	337	HSC-2
8	338	HT
8	339	HT-1376
8	340	HuCCT1
8	341	HUP-T3
8	342	IA-LM
8	343	IGR-39
8	344	IGROV1
8	345	IM95
8	346	Ishikawa (Heraklio) 02 ER-
8	347	IST-MES2
8	348	J82
8	349	JHH-2
8	350	JHH-6
8	351	JHUEM-2
8	352	JM1
8	353	KALS-1
8	354	KARPAS-299
8	355	KE-97
8	356	KELLY
8	357	KLE
8	358	KMBC-2
8	359	KMRC-1
8	360	KNS-60
8	361	KNS-62
8	362	KP-1N
8	363	KP-1NL
8	364	KP-3
8	365	KU812
8	366	KYM-1
8	367	KYSE-150
8	368	KYSE-30
8	369	KYSE-450
8	370	L3.3
8	371	L-428
8	372	LC-1/sq-SF
8	373	LCLC-103H
8	374	LN-229
8	375	LOU-NH91
8	376	LOX IMVI
8	377	M059J
8	378	MC116
8	379	MDA-MB-157
8	380	MDA-MB-175-VII
8	381	MDA-MB-436
8	382	MEC-1
8	383	MEG-01
8	384	MES-SA
8	385	MeWo
8	386	MFE-280
8	387	MJ
8	388	MKN-45
8	389	MKN7
8	390	MOG-G-CCM
8	391	MOR/CPR
8	392	MPP 89
8	393	MSTO-211H
8	394	NCI-H1048
8	395	NCI-H1092
8	396	NCI-H1184
8	397	NCI-H1339
8	398	NCI-H1373
8	399	NCI-H1563
8	400	NCI-H1568
8	401	NCI-H1573
8	402	NCI-H1581
8	403	NCI-H1648
8	404	NCI-H1650
8	405	NCI-H1651
8	406	NCI-H1693
8	407	NCI-H1694
8	408	NCI-H1703
8	409	NCI-H1869
8	410	NCI-H1915
8	411	NCI-H1944
8	412	NCI-H1975
8	413	NCI-H2009
8	414	NCI-H2052
8	415	NCI-H2085
8	416	NCI-H2170
8	417	NCI-H2172
8	418	NCI-H2228
8	419	NCI-H226
8	420	NCI-H2286
8	421	NCI-H2444
8	422	NCI-H2452
8	423	NCI-H520
8	424	NCI-H522
8	425	NCI-H647
8	426	NCI-N87
8	427	NIH:OVCAR-3
8	428	NUGC-3
8	429	NUGC-4
8	430	OC 314
8	431	OC 315
8	432	OC 316
8	433	OCI-AML2
8	434	OCI-LY10
8	435	OCUM-1
8	436	ONCO-DG-1
8	437	ONS-76
8	438	OPM-2
8	439	OVCAR-4
8	440	OVSAHO
8	441	OVTOKO
8	442	P12-ICHIKAWA
8	443	P31/FUJ
8	444	P3HR-1
8	445	Panc 03.27
8	446	PC-3
8	447	PLC/PRF/5
8	448	PSN1
8	449	Raji
8	450	RERF-LC-MS
8	451	RKN
8	452	RT4
8	453	RVH-421
8	454	SCaBER
8	455	SF-295
8	456	SH-10-TC
8	457	SHP-77
8	458	SK-BR-3
8	459	SK-HEP-1
8	460	SK-MEL-2
8	461	SK-MM-2
8	462	SK-N-AS
8	463	SK-N-BE(2)
8	464	SNG-M
8	465	SNU-182
8	466	SNU-387
8	467	SNU-398
8	468	SNU-423
8	469	SNU-C2A
8	470	Sq-1
8	471	SU.86.86
8	472	SUIT-2
8	473	SUP-M2
8	474	SUP-T1
8	475	SW 1088
8	476	SW 1353
8	477	SW 1990
8	478	SW579
8	479	SW 900
8	480	T24
8	481	T3M-10
8	482	T-47D
8	483	T84
8	484	TC-71
8	485	TCCSUP
8	486	TE-5
8	487	TE-9
8	488	TEN
8	489	Toledo
8	490	TOV-112D
8	491	TOV-21G
8	492	U-118 MG
8	493	U-87 MG
8	494	UACC-257
8	495	UACC-62
8	496	UACC-812
8	497	UM-UC-3
8	498	VMRC-LCD
8	499	WM-115
8	500	WM1799
8	501	WM-266-4
8	502	YKG1
8	503	ZR-75-30
