height	rank	name
4.9622	240	639-V
4.9626	241	SK-MEL-2
4.9640	242	SNB75
4.9687	243	KP-N-RT-BM-1
4.9691	244	LCLC-97TM1
4.9697	245	T-24
4.9737	246	HuO-3N1
4.9768	247	IA-LM
4.9910	248	A388
4.9914	249	CP67-MEL
4.9942	250	NCI-H1975
5.0015	251	NCI-H2030
5.0072	252	LOXIMVI
5.0134	253	LU-139
5.0181	254	NCI-H128
5.0191	255	ONS-76
5.0195	256	MEL-JUSO
5.0215	257	DOHH-2
5.0244	258	SUP-T1
5.0283	259	BOKU
5.0329	260	A498
5.0338	261	Hs-578-T
5.0356	262	NCI-H209
5.0389	263	SBC-5
5.0465	264	AN3-CA
5.0475	265	NB7
5.0486	266	HCC1395
5.0530	267	SK-N-AS
5.0540	268	SW837
5.0575	269	BT-549
5.0620	270	Becker
5.0620	271	HH
5.0631	272	SW962
5.0657	273	CAPAN-1
5.0720	274	HOP-62
5.0745	275	SH-4
5.0844	276	U-118-MG
5.0862	277	NCI-H1650
5.0907	278	ME-180
5.0925	279	NCI-H2009
5.1074	280	MDA-MB-231
5.1142	281	NCI-H1770
5.1189	282	KP-4
5.1225	283	CAMA-1
5.1246	284	NCI-H250
5.1311	285	BB49-HNC
5.1332	286	GCIY
5.1425	287	TE-15
5.1526	288	D-263MG
5.1526	289	EW-11
5.1532	290	COR-L88
5.1547	291	NCI-H378
5.1592	292	CFPAC-1
5.1595	293	RH-1
5.1649	294	A2780
5.1655	295	CCF-STTG1
5.1703	296	HCC1806
5.1753	297	CP50-MEL-B
5.1776	298	SK-MEL-28
5.1945	299	D-542MG
5.1961	300	CHP-126
5.1985	301	LoVo
5.2014	302	MS-1
5.2066	303	CAL-39
5.2089	304	OCUB-M
5.2161	305	MCF7
5.2180	306	EW-1
5.2182	307	NCI-H1092
5.2182	308	UACC-812
5.2182	309	BPH-1
5.2240	310	OAW-42
5.2244	311	SNU-C1
5.2247	312	IST-MEL1
5.2325	313	SR
5.2411	314	COLO-800
5.2466	315	LS-123
5.2466	316	BFTC-909
5.2484	317	ECC4
5.2490	318	SNU-475
5.2494	319	CAL-12T
5.2511	320	NY
5.2558	321	REH
5.2563	322	HuH-7
5.2567	323	LB2518-MEL
5.2599	324	ES3
5.2608	325	NB17
5.2617	326	MKN28
5.2694	327	PANC-08-13
5.2732	328	8-MG-BA
5.2753	329	MFH-ino
5.2804	330	U-2-OS
5.2823	331	TT
5.2986	332	MRK-nu-1
5.3033	333	LU-134-A
5.3044	334	HCE-4
5.3084	335	LB996-RCC
5.3089	336	ABC-1
5.3106	337	NCI-H747
5.3141	338	LC4-1
5.3185	339	KYSE-410
5.3213	340	KG-1
5.3320	341	LCLC-103H
5.3342	342	Detroit562
5.3365	343	SJSA-1
5.3460	344	BxPC-3
5.3558	345	SNU-387
5.3647	346	NALM-6
5.3674	347	SW948
5.3684	348	S-117
5.3712	349	NCI-H1651
5.3715	350	SW1990
5.3723	351	GCT
5.3736	352	KYSE-510
5.3743	353	COR-L105
5.3754	354	LU-99A
5.3763	355	MZ7-mel
